1269,229,1272,196,1367,204,1364,238
1362,239,1366,205,1469,216,1466,250
765,264,764,243,795,243,795,264
1269,284,1272,243,1380,252,1376,292
102,252,177,252,177,273,102,273
1375,294,1382,251,1505,271,1497,315
663,261,729,261,729,288,663,288
732,288,732,264,795,264,795,288
165,276,189,276,189,297,165,297
192,297,192,276,258,275,258,296
99,279,162,279,162,300,99,300
420,288,477,288,477,360,420,360
657,297,687,297,687,318,657,318
687,297,714,297,714,318,687,318
714,297,753,297,753,318,714,318
756,297,795,297,795,318,756,318
603,300,657,300,657,321,603,321
96,315,156,315,156,345,96,345
153,318,237,318,237,342,153,342
774,318,798,318,798,336,774,336
681,321,774,321,774,339,681,339
1267,361,1270,327,1460,345,1457,379
744,336,798,336,798,354,744,354
663,357,663,339,746,339,746,357
165,342,228,342,228,366,165,366
96,342,135,342,135,366,96,366
135,345,162,345,162,366,135,366
1453,381,1458,345,1530,354,1525,390
1265,415,1269,373,1467,391,1463,433
1463,433,1467,393,1569,402,1565,442
