218,128,276,128,276,140,218,140
29,193,32,155,159,164,156,202
164,169,229,169,229,200,164,200
228,202,229,171,372,175,371,206
171,217,172,207,220,209,219,219
225,209,249,209,249,218,225,218
255,218,256,210,289,212,289,220
294,221,294,210,337,212,337,222
338,222,338,213,366,213,366,222
0,240,0,224,22,224,22,239
176,244,176,236,201,235,201,243
204,243,204,235,212,235,212,243
214,243,214,235,245,237,245,245
252,245,253,236,279,238,278,247
288,237,324,237,324,246,288,246
84,245,84,238,100,238,100,245
0,241,21,241,21,254,0,254
